Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф.Q,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
,"побеждать, выигрывать",xətə-,<ES; P>,xətə-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,подметать,xapole-,"<ES, P; P>",xapole-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,"подходить, быть в пору",ača-,"<ES, S; S>",ača-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,поливать,xūl- / xūlsi-,<ES; P>,xūl-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,поливать,xūl- / xūlsi-,<ES; P>,xūlsi-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,помогать,bələči-,"<ES, P; P>",bələči-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,привинчивать,morkola- / morkoče-,"<ES, P; P>",morkola-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,привинчивать,morkola- / morkoče-,"<ES, P; P>",morkoče-,<P; —>,0,0,1,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
,прилипать,lakto- / laktoča-,<ES; S>,lakto-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,прилипать,lakto- / laktoča-,<ES; S>,laktoča-,<S; —>,0,0,0,0,1,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
,присоединяться,xopala-,<ES; —>,xopala-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,прислоняться,lagǯe-,"<ES, S; S>",lagǯe-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,приходить,ǯi-,"<ES, P; P>",ǯi-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,просить,gələ-,"<ES, P; P>",gələ-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,просыпаться,sənə- / sənəgu-,<ES; P>,sənə-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,просыпаться,sənə- / sənəgu-,<ES; P>,sənəgu-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
